Códigos_de_indicadores,Descripciones_de_los_indicadores
1.1.1,"Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)"
1.1.1.a,"Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), por desglose geográfico"
1.2.1,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad"
1.2.1.a,"Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico"
1.2.2,"Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales"
1.2.2.a,"Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales, por desglose geográfico"
1.3.1.,"Proporción de la población cubierta por niveles mínimos o sistemas de protección social, desglosada por sexo, distinguiendo entre los niños, los desempleados, los ancianos, las personas con discapacidad, las mujeres embarazadas, los recién nacidos, las víctimas de accidentes de trabajo y los pobres y los grupos vulnerables"
1.4.1.,"Proporción de la población que vive en hogares con acceso a servicios básicos"
1.4.2.,"Proporción del total de la población adulta, por sexo y por tipo de tenencia, con derechos seguros de tenencia de la tierra, que posee documentación reconocida legalmente al respecto y que percibe esos derechos como seguros"
1.5.1,"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100 000 habitantes"
1.a.1,"Proporción de recursos asignados por el gobierno directamente a programas de reducción de la pobreza"
1.a.2,"Proporción del gasto público total en servicios esenciales (educación, salud y protección social)"
1.b.1.,"Proporción del gasto público periódico y de capital destinado a sectores que benefician de forma desproporcionada a las mujeres, los pobres y los grupos vulnerables"
1n.1.1,"Porcentaje de la población en situación de pobreza"
1n.2.1,"Proporción de partos con asistencia de personal sanitario capacitado"
1n.2.2,"Proporción de la población menor a un año de edad con esquema básico completo de vacunación"
