"Periodo","Caudal_de_agua_residual_tratada_de_origen_industrial,_m3/s",
"2020","71.6641",
"2019","89.7387113141",
"2018","87.0893581938",
"2017","83.6859462202",
"2016","75.9132420091",
"2015","70.5",
"2014","65.6",
"2013","60.72",
"2012","60.565702689",
"2011","63.4195839675",
"2010","63.4195839675",
"2009","36.7833587012",
"2008","33.7",
"2007","29.9",
"2006","27.7",
"2005","26.8",
"2004","27.4",
"2003","27.4",
"2002","26.2",
"2001","25.4",
"2000","25.3",
"1999","22.02106",
"1998","21.95149",
