"Periodo","Caudal_de_agua_residual_generada_de_origen_industrial,_m3/s",
"2020","222.3332",
"2019","220.3830542872",
"2018","217.4023338407",
"2017","218.0999492643",
"2016","217.3706240487",
"2015","214.6",
"2014","211.4",
"2013","210.26",
"2012","209.6017250127",
"2011","207.3820395738",
"2010","212.4556062912",
"2009","190.5758498224",
"2008","190.4",
"2007","189",
"2006","183",
"2005","170.6",
"2004","170.6",
"2003","170.6",
"2002","170.6",
"2001","171.4472269536",
"2000","169.8668770833",
"1999","170",
"1998","159.48",
